metric,Block_Id,Terr_Id,report_dt,val
universalis,Лямбда,A-969,3/31/2016,113240.8169
universalis,Тета,D-602,12/31/2017,113566.3499
universalis,Лямбда,A-969,4/30/2016,113623.4764
universalis,Тета,A-876,7/31/2015,114369.1985
universalis,Лямбда,F-850,5/31/2017,115866.2046
universalis,Тета,F-943,8/31/2016,116654.1852
universalis,Тета,A-876,11/30/2015,117869.1572
universalis,Тета,A-876,9/30/2015,118109.7653
universalis,Тета,A-876,8/31/2015,118283.7958
universalis,Тета,F-943,1/31/2017,118369.8656
universalis,Тета,D-602,7/31/2018,119441.3433
universalis,Тета,C-678,2/28/2016,119518.121
universalis,Лямбда,A-969,5/31/2016,119693.5246
universalis,Лямбда,A-969,6/30/2016,119807.3199
universalis,Дзета,B-636,5/31/2014,119870.279
universalis,Тета,C-678,4/30/2016,120636.638
universalis,Тета,A-876,2/28/2016,121170.4351
universalis,Тета,E-938,6/30/2015,121428.9745
universalis,Лямбда,F-850,4/30/2017,121616.3731
universalis,Эта,A-870,4/30/2016,122278.0492
universalis,Эта,A-870,3/31/2016,122343.2143
universalis,Тета,C-678,5/31/2016,123083.7349
universalis,Эта,D-751,5/31/2014,123339.601
universalis,Тета,C-678,1/31/2016,123462.4982
universalis,Лямбда,F-850,10/31/2017,124185.9587
universalis,Дзета,B-636,6/30/2014,124316.0562
universalis,Тета,C-678,6/30/2016,124613.6346
universalis,Тета,D-602,10/31/2018,124722.4163
universalis,Тета,D-602,9/30/2018,125377.0106
universalis,Тета,B-935,4/30/2017,125391.8964
universalis,Тета,C-678,12/31/2015,126040.223
universalis,Лямбда,F-850,1/31/2018,126223.3124
universalis,Лямбда,A-969,9/30/2016,126685.6036
universalis,Лямбда,F-850,11/30/2017,127067.8186
universalis,Тета,A-876,10/31/2015,127091.65
universalis,Тета,C-678,3/31/2016,127780.2535
universalis,Тета,B-935,12/31/2016,127845.9302
universalis,Тета,B-935,2/28/2017,128120.2574
universalis,Лямбда,F-850,3/31/2017,128706.586
universalis,Тета,A-917,7/31/2015,129314.1181
universalis,Тета,A-876,1/31/2016,129981.0318
universalis,Дзета,B-636,9/30/2014,130131.7179
universalis,Тета,A-917,9/30/2015,130166.8496
universalis,Эта,A-870,12/31/2015,130203.579
universalis,Лямбда,A-969,7/31/2016,130517.83
universalis,Эта,D-751,6/30/2014,130933.2093
universalis,Лямбда,A-969,12/31/2015,131093.8478
universalis,Тета,B-935,5/31/2017,131570.5448
universalis,Тета,C-678,9/30/2016,131913.945
universalis,Лямбда,A-969,8/31/2016,132118.7684
universalis,Тета,F-943,3/31/2017,132289.8907
universalis,Тета,D-602,8/31/2018,132401.1675
universalis,Тета,F-943,12/31/2016,133164.0865
universalis,Тета,F-943,4/30/2017,134635.2137
universalis,Тета,A-917,11/30/2015,134967.6735
universalis,Лямбда,F-850,2/28/2018,135101.6581
universalis,Лямбда,A-969,10/31/2016,135259.9084
universalis,Тета,A-917,10/31/2015,135852.7267
universalis,Тета,E-938,7/31/2015,135945.4872
universalis,Тета,E-938,9/30/2015,136274.5011
universalis,Тета,A-876,3/31/2016,136342.143
universalis,Эта,D-751,9/30/2014,136462.9827
universalis,Тета,B-935,1/31/2017,136688.3776
universalis,Эпсилон,F-751,4/30/2014,136805.4342
universalis,Эта,A-870,5/31/2016,136870.1892
universalis,Дзета,B-636,7/31/2014,136990.8448
universalis,Лямбда,F-850,8/31/2018,137113.8296
universalis,Тета,E-938,11/30/2015,137659.8663
universalis,Тета,B-935,3/31/2017,137715.0735
universalis,Лямбда,F-850,7/31/2018,137748.9465
universalis,Лямбда,A-969,2/28/2017,139440.1192
universalis,Лямбда,A-969,11/30/2016,139446.3597
universalis,Лямбда,A-969,1/31/2017,139963.9766
universalis,Тета,E-938,2/28/2016,140173.2357
universalis,Тета,A-876,4/30/2016,140213.7162
universalis,Тета,C-678,10/31/2016,140239.3564
universalis,Лямбда,F-850,6/30/2018,140625.7439
universalis,Тета,E-938,10/31/2015,140638.7603
universalis,Лямбда,F-850,12/31/2016,141101.5104
universalis,Тета,B-935,6/30/2017,141391.3748
universalis,Тета,E-938,8/31/2015,141699.8571
universalis,Тета,D-602,5/31/2018,141739.0953
universalis,Тета,E-938,1/31/2016,142013.6007
universalis,Тета,C-678,7/31/2016,142178.5883
universalis,Тета,A-917,8/31/2015,142370.4509
universalis,Лямбда,F-850,5/31/2018,143715.3542
universalis,Дзета,B-636,10/31/2014,144957.9469
universalis,Дзета,B-636,8/31/2014,145216.2841
universalis,Лямбда,F-850,9/30/2018,145613.3293
universalis,Эпсилон,F-751,3/31/2014,145922.8112
universalis,Тета,C-678,11/30/2016,146011.9937
universalis,Тета,A-917,2/28/2016,146325.7003
universalis,Тета,F-943,5/31/2017,146796.809
universalis,Тета,F-943,2/28/2018,147957.5797
universalis,Дзета,B-636,11/30/2014,148547.0135
universalis,Эта,A-870,9/30/2016,148552.1245
universalis,Тета,A-876,6/30/2016,148991.6079
universalis,Тета,A-917,1/31/2016,149161.2748
universalis,Эта,A-870,6/30/2016,149228.0619
universalis,Тета,B-935,9/30/2017,149309.1619
universalis,Тета,A-876,5/31/2016,150491.5404
universalis,Тета,C-678,8/31/2016,150500.8889
universalis,Тета,D-602,6/30/2018,150907.0461
universalis,Дзета,E-984,4/30/2014,151002.8113
universalis,Тета,F-943,6/30/2017,151243.0042
universalis,Тета,C-678,2/28/2017,152224.3477
universalis,Эта,D-751,10/31/2014,152232.2878
universalis,Эта,A-870,10/31/2016,152940.6131
universalis,Эта,D-751,11/30/2014,154057.0748
universalis,Эта,D-751,7/31/2014,154441.0576
universalis,Эта,A-870,11/30/2016,154506.5872
universalis,Лямбда,F-850,4/30/2018,154769.1884
universalis,Эта,A-870,1/31/2017,155039.5278
universalis,Тета,F-943,9/30/2017,155430.6626
